"","GEOID","county","bau_pm25_2025","bau_pm25_2045","total_pm25_2025","total_pm25_2045","dac_share","pop","bau_pm25_change_pct","total_pm25_change_pct","diff_pm25"
"47","06093","Siskiyou",3.27554100821283e-06,1.98261532509675e-06,3.09211137062534e-06,1.65092877609063e-06,0,29666.3982208227,-39.4721262800344,-46.6083663164839,-7.13624003644951
"48","06095","Solano",8.63186145673405e-06,5.47793742934957e-06,8.18185305688739e-06,4.53279421463061e-06,0.0443332216907884,288093.030110699,-36.5381678470289,-44.599417966631,-8.0612501196021
"49","06097","Sonoma",6.44826437881782e-06,4.09321261378383e-06,6.11262191864059e-06,3.38578375764647e-06,0.0116438354275674,330297.411019178,-36.522258187338,-44.6099594787396,-8.08770129140157
"50","06099","Stanislaus",6.79929740981014e-05,4.07400521804952e-05,6.49124224229619e-05,3.40873592853158e-05,0.560829771984736,326447.054728886,-40.0819677019647,-47.4871557508569,-7.40518804889228
"51","06101","Sutter",5.74861742922763e-06,3.61583802118182e-06,5.44459624207552e-06,2.99835344003645e-06,0.0541784881899239,66431.1096399046,-37.1007365562743,-44.9297375466458,-7.8290009903715
"52","06103","Tehama",4.60760687243898e-06,2.83988925557596e-06,4.3564690160929e-06,2.36124583038328e-06,0,41503.8723168893,-38.365200543407,-45.7990904638417,-7.43388992043462
"53","06105","Trinity",1.8362223258336e-06,1.1293632381666e-06,1.73447305434319e-06,9.37275568168949e-07,0,9345.10963760249,-38.4952888178235,-45.9619412465375,-7.466652428714
"54","06107","Tulare",0.00605963354960397,0.0036332825120806,0.00578478262767439,0.00309300033612054,0.440124261912956,273762.099074746,-40.0412173056561,-46.5321251428942,-6.49090783723806
"55","06109","Tuolumne",0.00011848062854928,7.32430886430357e-05,0.00011253616717138,6.13759299950696e-05,0,36250.3728569614,-38.1813807540939,-45.4611512567325,-7.27977050263858
"56","06111","Ventura",0.0695452955942026,0.0436281157364721,0.0660561526711974,0.0365579750663899,0.0379007416763885,534098.36631069,-37.2666183043602,-44.6562150714988,-7.3895967671386
"57","06113","Yolo",6.62786841923021e-06,4.18489784753959e-06,6.27986046697039e-06,3.46717803240455e-06,0.137602883102762,107832.720015266,-36.8590686653124,-44.7889320050891,-7.9298633397767
"58","06115","Yuba",6.7690716752987e-06,4.22794318352211e-06,6.40587300680878e-06,3.51000179682085e-06,0.157378880832737,44477.2369977307,-37.5402804648904,-45.206503577419,-7.66622311252857
